number,name,link,tob,cate,season,situation,gender,tag,attr,nouns
19,무신사 스탠다드(MUSINSA STANDARD) 베이식 크루 넥 반팔 티셔츠 2팩,https://store.musinsa.com/app/goods/2050094,top,short sleeve t-shirt,summer,casual,남,MU-T 기본티 무지티 반팔티 무지반팔 여름티 면티셔츠 라운드넥 세트상품,Female,신사 베이식 크루 반팔 티셔츠 팩 기본 티 무지 티 반팔 티 지반 팔 여름 티 면 티셔츠 세트 상품 
20,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 베이식 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/2411190,top,short sleeve t-shirt,summer,casual,남,베이직티 레귤러핏 쿨탠다드 MU-T 기본티셔츠 라운드넥 기능성 아스킨 무지,Cotton Male Round Neck Short Sleeves,신사 쿠 태 다 드 베이식 크루 반팔 티셔츠 블랙 베이직 티 쿠 태 다 드 기본 티셔츠 기능 아스키 무지 
21,커버낫(COVERNAT) 세리프 아치 로고 티셔츠 화이트,https://store.musinsa.com/app/goods/1860941,top,short sleeve t-shirt,summer,casual,공용,라운드티 반팔티 로고티셔츠 베이직티셔츠 그래픽티셔츠 반팔 티셔츠 그래픽 썸머컬렉션,Female Long Sleeved,커버 낫 세리프 아치 로고 티셔츠 화이트 라운드 티 반팔 티 로고 티셔츠 베이직 티셔츠 그래픽 티셔츠 반팔 티셔츠 그래픽 
22,챔피온(CHAMPION) (1+1 세트구성) 챔피온 T425 티셔츠,https://store.musinsa.com/app/goods/792918,top,short sleeve t-shirt,summer,casual,여,무지티 반팔티 챔피온반팔티 여자반팔티 티셔츠 남자반팔티 반팔,Blue Short Sleeves,챔피온 1+1 세트 구성 챔피온 425 티셔츠 무지 티 반팔 티 챔피온 반팔 티 여자 반팔 티 티셔츠 남자 반팔 티 반팔 
23,비바스튜디오(VIVASTUDIO) BLACK CAT TEE [WHITE],https://store.musinsa.com/app/goods/2329824,top,short sleeve t-shirt,summer,casual,남,22S/S컬렉션 그래픽,Cotton Round Neck Short Sleeves,비바 스튜디오 컬렉션 그래픽 
24,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 베이식 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/2411191,top,short sleeve t-shirt,summer,casual,남,베이직티 레귤러핏 쿨탠다드 MU-T 기본티셔츠 라운드넥 기능성 아스킨 무지,Cotton Male Round Neck Short Sleeves,신사 쿠 태 다 드 베이식 크루 반팔 티셔츠 화이트 베이직 티 쿠 태 다 드 기본 티셔츠 기능 아스키 무지 
25,트래블(TRAVEL) 액티비티 클럽 피그먼트 반팔티 크림,https://store.musinsa.com/app/goods/1899755,top,short sleeve t-shirt,summer,casual,공용,라운드티 반팔 반팔티 피그먼트 반팔티셔츠 오버핏반팔 그래픽,Chiffon Female Long Sleeved Round Neck White,트래블 액 티 비티 클럽 피 반팔 티 크림 라운드 티 반팔 반팔 티 피 반팔 티셔츠 그래픽 
26,브라운브레스(BROWNBREATH) TAG KP TEE - BLACK,https://store.musinsa.com/app/goods/2376229,top,short sleeve t-shirt,summer,casual,공용,로고티 반팔티셔츠 로고티셔츠 남자반팔티 여자반팔티 기본티셔츠 그래픽티셔츠 그래픽,Female Long Sleeved,브라운 브레스 로고 티 반팔 티셔츠 로고 티셔츠 남자 반팔 티 여자 반팔 티 기본 티셔츠 그래픽 티셔츠 그래픽 
27,러브이즈트루(LUV IS TRUE) IN LOVE TEE(WHITE),https://store.musinsa.com/app/goods/1779737,top,short sleeve t-shirt,summer,casual,여,베이직티셔츠 반팔티 반팔 반팔티셔츠 라운드티 여성반팔티 그래픽 우먼티셔츠,Female Long Sleeved,베이직 티셔츠 반팔 티 반팔 반팔 티셔츠 라운드 티 여성 반팔 티 그래픽 우먼 티셔츠 
28,제멋(JEMUT) [패키지] 에디 오버핏 반팔티셔츠 패키지 KJST2189,https://store.musinsa.com/app/goods/987149,top,short sleeve t-shirt,summer,casual,남,무지반팔 반팔 반팔티 숏슬리브 오버핏 오버핏반팔 패키지,Female Long Sleeved,제멋 패키지 에디 반팔 티셔츠 패키지 지반 팔 반팔 반팔 티 패키지 
29,캘빈클라인 진(CALVIN KLEIN JEANS) 남 화이트 레귤러핏 인스티튜셔널 로고 스트레치 반팔 티셔츠 J321612 YAF,https://store.musinsa.com/app/goods/1763157,top,short sleeve t-shirt,summer,casual,남,티셔츠 반팔티 라운드티 반팔 박서준착용 로고/레터링,Female Short Sleeves,빈 클라인 진 남 화이트 로고 반팔 티셔츠 티셔츠 반팔 티 라운드 티 반팔 박서준 착용 로고 레터 링 
30,무신사 스탠다드(MUSINSA STANDARD) [쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/1388775,top,short sleeve t-shirt,summer,casual,남,기능성 쿨탠다드 MU-T 라운드넥 여름티 아스킨 무지티 베이직티 무탠픽업 유아인착장상품,Black Cotton Male Round Neck Short Sleeves,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 블랙 기능 쿠 태 다 드 여름 티 아스키 무지 티 베이직 티 무태 픽업 유아인 착 장 상품 
31,무신사 스탠다드(MUSINSA STANDARD) 베이식 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/996497,top,short sleeve t-shirt,summer,casual,남,기본티 라운드넥 면티셔츠 무지티 반팔티 MU-T 홈웨어컬렉션,Female Long Sleeved Round Neck,신사 베이식 크루 반팔 티셔츠 화이트 기본 티 면 티셔츠 무지 티 반팔 티 홈 웨어 컬렉션 
32,무신사 스탠다드(MUSINSA STANDARD) 레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,https://store.musinsa.com/app/goods/2122566,top,short sleeve t-shirt,summer,casual,남,라운드넥 레귤러핏 무지티 베이직티 기본티셔츠 MU-T 세트상품,Female White,신사 레이어 드 크루 반팔 티셔츠 일반 기장 무지 티 베이직 티 기본 티셔츠 세트 상품 
33,어커버(ACOVER) [세트상품] 더블 코튼 롱 티셔츠,https://store.musinsa.com/app/goods/324416,top,short sleeve t-shirt,summer,casual,공용,면티 무지 반팔티 티셔츠 반팔 반팔티셔츠 커플티,Cotton Long Sleeved Male Round Neck Short Sleeves,어 커버 세트 상품 더블 코트 티셔츠 면 티 무지 반팔 티 티셔츠 반팔 반팔 티셔츠 커플 티 
34,페플(FP142) [패키지] 더블코튼 무지반팔  패키지 KHST1011,https://store.musinsa.com/app/goods/345889,top,short sleeve t-shirt,summer,casual,남,레이어드 면티 무지반팔 반팔티 티셔츠 페플무지 오버핏반팔 무지,Long Sleeved Round Neck White,패키지 더블 코트 지반 팔 패키지 레이어 드 면 티 지반 팔 반팔 티 티셔츠 무지 
35,파르티멘토(PARTIMENTO) [패키지][CHUBBY]EMBROIDERY TEE (5COLOR),https://store.musinsa.com/app/goods/1454812,top,short sleeve t-shirt,summer,casual,남,반팔 반팔티 오버핏 오버핏반팔 처비라인 티셔츠 오버핏티셔츠,Female Short Sleeves,파 르 티 멘 토 패키지 반팔 반팔 티 처 비라 티셔츠 
36,와릿이즌(WHATITISNT) 슈무 아치로고 반팔 티셔츠 화이트,https://store.musinsa.com/app/goods/1845608,top,short sleeve t-shirt,summer,casual,공용,티셔츠 반팔 반팔티 레이어드 반팔셔츠 슈무로고 그래픽,Female,무 아치로 반팔 티셔츠 화이트 티셔츠 반팔 반팔 티 레이어 드 반팔 셔츠 무 로고 그래픽 
37,피지컬 에듀케이션 디파트먼트(PHYSICAL EDUCATION DEPARTMENT) PHYPS® YOGA BEGINNER CLASS SS LIGHT GRAY,https://store.musinsa.com/app/goods/1862477,top,short sleeve t-shirt,summer,casual,공용,면티 티셔츠 반팔티 반팔 그래픽티셔츠 남자반팔 YOGA 그래픽,Female Printed Round Neck Short Sleeves,피지컬 디 파트 면 티 티셔츠 반팔 티 반팔 그래픽 티셔츠 남자 반팔 그래픽 
38,프린트스타(PRINTSTAR) [2PACK] 베이식 무지 레이어드 반팔 티셔츠 일반 기장,https://store.musinsa.com/app/goods/2186292,top,short sleeve t-shirt,summer,casual,여,반팔 반팔티셔츠 반팔티 티셔츠 레이어드 이너 레이어드룩,Cotton Female Long Sleeved Round Neck Short Sleeves T-Shirts,프린트 스타 베이식 무지 레이어 드 반팔 티셔츠 일반 기장 반팔 반팔 티셔츠 반팔 티 티셔츠 레이어 드 레이어 드 룩 
39,커버낫(COVERNAT) 라인 서퍼맨 티셔츠 화이트,https://store.musinsa.com/app/goods/751030,top,short sleeve t-shirt,summer,casual,공용,그래픽 반팔 서퍼맨 오버핏 트로피컬 썸머컬렉션 그래픽티셔츠,Female,커버 낫 라인 티셔츠 화이트 그래픽 반팔 트로피 컬 그래픽 티셔츠 
40,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/2411195,top,short sleeve t-shirt,summer,casual,여,여름티 아스킨 기능성 무지티 베이직티 쿨탠다드 무신사스탠다드우먼즈 MU-T 무지,Female Round Neck Short Sleeves,신사 쿠 태 다 드 베이식 크루 반팔 티셔츠 화이트 여름 티 아스키 기능 무지 티 베이직 티 쿠 태 다 드 무지 
41,아웃도어 프로덕츠(OUTDOOR PRODUCTS) 백로고 3팩 반팔 티셔츠 BACKLOGO 3PACK TS,https://store.musinsa.com/app/goods/1893766,top,short sleeve t-shirt,summer,casual,공용,,Female,아웃 도어 로고 팩 반팔 티셔츠 
42,코드그라피(CODEGRAPHY) CGP 아치 로고 티셔츠,https://store.musinsa.com/app/goods/2402005,top,short sleeve t-shirt,summer,casual,공용,반팔티 반팔 반팔티셔츠 레이어드 레이어드티 레이어드반팔 오버핏반팔,Printed Round Neck,코드 라피 아치 로고 티셔츠 반팔 티 반팔 반팔 티셔츠 레이어 드 레이어 드 티 레이어 드 반팔 
43,마뗑킴(MATIN KIM) MATIN KIM LOGO SILKET CROP TOP,https://store.musinsa.com/app/goods/2015684,top,short sleeve t-shirt,summer,casual,여,우먼티셔츠,Blouses Cotton Female Round Neck Short Sleeves T-Shirts,우먼 티셔츠 
44,캘빈클라인 진(CALVIN KLEIN JEANS) 남 블랙 레귤러핏 인스티튜셔널 로고 스트레치 반팔 티셔츠 J321612 BEH,https://store.musinsa.com/app/goods/1763164,top,short sleeve t-shirt,summer,casual,남,로고/레터링,Long Sleeved Male,빈 클라인 진 남 블랙 로고 반팔 티셔츠 로고 레터 링 
45,엠엘비(MLB) 베이직 스몰로고 반팔 티셔츠 NY (Black),https://store.musinsa.com/app/goods/2330325,top,short sleeve t-shirt,summer,casual,공용,반팔티 반팔티셔츠 티셔츠 오버핏티셔츠 루즈핏티셔츠 MLB티셔츠 22S/S신상품 반팔티컬렉션,Black,베이직 스모 로고 반팔 티셔츠 반팔 티 반팔 티셔츠 티셔츠 티셔츠 신상품 반팔 티 컬렉션 
46,마르디 메크르디(MARDI MERCREDI) TSHIRT FLOWERMARDI_BLACK CREAM,https://store.musinsa.com/app/goods/2453552,top,short sleeve t-shirt,summer,casual,여,그래픽 우먼티셔츠,Long Sleeved,그래픽 우먼 티셔츠 
47,엠엠엘지(MMLG) [Mmlg] 19MG HF-T (WHITE),https://store.musinsa.com/app/goods/747950,top,short sleeve t-shirt,summer,casual,공용,로고 반팔티 반팔티셔츠 팔칠엠엠 하프티 87MM 로고티셔츠 특별기획전 EVERYDAYWEAR 그래픽,Female,MG 로고 반팔 티 반팔 티셔츠 하 프티 MM 로고 티셔츠 기획전 그래픽 
48,샤카웨어(SHAKA WEAR) [2PACK] 7.5oz 헤비웨이트 무지 오버핏 레이어드 반팔티,https://store.musinsa.com/app/goods/2274644,top,short sleeve t-shirt,summer,casual,여,티셔츠 오버핏티셔츠 남자반팔티 반팔티 반팔티셔츠 오버핏반팔 레이어드 무지,Female,샤카 웨어 헤비 웨이트 무지 레이어 드 반팔 티 티셔츠 남자 반팔 티 반팔 티 반팔 티셔츠 레이어 드 무지 
49,무신사 스탠다드(MUSINSA STANDARD) [쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],https://store.musinsa.com/app/goods/1388776,top,short sleeve t-shirt,summer,casual,남,기능성 쿨탠다드 MU-T 라운드넥 여름티 아스킨 무지티 베이직티,Blouses Chiffon Female Long Sleeved Round Neck Short Sleeves,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 화이트 기능 쿠 태 다 드 여름 티 아스키 무지 티 베이직 티 
50,지오다노(GIORDANO) 021541 레이어드 반팔 티셔츠(2pck),https://store.musinsa.com/app/goods/1815503,top,short sleeve t-shirt,summer,casual,남,기본티셔츠 티셔츠 베이직티셔츠 긴팔티 긴팔티셔츠 레이어드티,Female Round Neck Short Sleeves,지오다노 레이어 드 반팔 티셔츠 기본 티셔츠 티셔츠 베이직 티셔츠 긴팔 티 긴팔 티셔츠 레이어 드 티 
51,와릿이즌(WHATITISNT) 엔젤 와펜 반팔 티셔츠 블랙,https://store.musinsa.com/app/goods/1860814,top,short sleeve t-shirt,summer,casual,공용,반팔 반팔티 티셔츠 반팔티셔츠 숏슬리브 엔젤와펜 로고/레터링,Black Short Sleeves,엔젤 와 펜 반팔 티셔츠 블랙 반팔 반팔 티 티셔츠 반팔 티셔츠 엔젤 펜 로고 레터 링 
52,무신사 스탠다드(MUSINSA STANDARD) 우먼즈 베이식 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/1417692,top,short sleeve t-shirt,summer,casual,여,기본티 라운드넥 무신사스탠다드우먼즈 무지티 여름티 MU-T 반소매,Cotton Female Round Neck Short Sleeves T-Shirts,신사 베이식 크루 반팔 티셔츠 블랙 기본 티 무지 티 여름 티 반소매 
53,리(LEE) 빅 트위치 로고 티셔츠 블랙,https://store.musinsa.com/app/goods/1793420,top,short sleeve t-shirt,summer,casual,공용,반팔티 반팔티셔츠 LEE반팔티 빅로고 로고 남녀공용 트위치 그래픽,Cotton Male Short Sleeves T-Shirts,리 빅 로고 티셔츠 블랙 반팔 티 반팔 티셔츠 반팔 티 빅 로고 로고 남녀 공용 그래픽 
54,예일(YALE) (22SS) EMBROIDERY UNIVERSITY DAN TEE WHITE,https://store.musinsa.com/app/goods/1886950,top,short sleeve t-shirt,summer,casual,남,그래픽티셔츠 반팔티셔츠 반팔티 반팔 로고 아이비리그 유니버시티댄,Female Short Sleeves,예일 그래픽 티셔츠 반팔 티셔츠 반팔 티 반팔 로고 아이비리그 유니버시티 댄 
55,리(LEE) 빅 트위치 로고 티셔츠 그린,https://store.musinsa.com/app/goods/1820701,top,short sleeve t-shirt,summer,casual,공용,반팔티 LEE반팔티 로고 빅로고 트위치 남녀공용,Cotton Round Neck Short Sleeves T-Shirts,리 빅 로고 티셔츠 그린 반팔 티 반팔 티 로고 빅 로고 남녀 공용 
56,예일(YALE) (22SS) UNIVERSITY DAN TEE WHITE / RED,https://store.musinsa.com/app/goods/1827193,top,short sleeve t-shirt,summer,casual,남,오버핏티셔츠 로고티셔츠 반팔티셔츠 로고 핸섬댄 아이비리그 유니버시티댄 그래픽,Female Short Sleeves,예일 로고 티셔츠 반팔 티셔츠 로고 핸섬 댄 아이비리그 유니버시티 댄 그래픽 
57,예일(YALE) [COOL COTTON] 2PACK SMALL ARCH TEE WHITE / BLACK,https://store.musinsa.com/app/goods/2409894,top,short sleeve t-shirt,summer,casual,남,로고 오버핏반팔 여름반팔 반팔티 오버핏 반팔티셔츠 반팔,Short Sleeves,예일 로고 여름 반팔 반팔 티 반팔 티셔츠 반팔 
58,이벳필드(EBBETSFIELD) EBFD 베츠 반팔 티셔츠 블루,https://store.musinsa.com/app/goods/1846930,top,short sleeve t-shirt,summer,casual,공용,반팔티 오버핏티셔츠 반팔 반팔티셔츠 티셔츠 오버핏반팔 베츠,Round Neck Short Sleeves,반팔 티셔츠 블루 반팔 티 반팔 반팔 티셔츠 티셔츠 
59,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 [네이비],https://store.musinsa.com/app/goods/2411268,top,short sleeve t-shirt,summer,casual,남,기능성 쿨탠다드 MU-T 라운드넥 여름티 아스킨 무지티 베이직티,Cotton Male Round Neck Short Sleeves T-Shirts,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 이비 기능 쿠 태 다 드 여름 티 아스키 무지 티 베이직 티 
60,커버낫(COVERNAT) 쿨 코튼 2-PACK 티셔츠 화이트,https://store.musinsa.com/app/goods/1943792,top,short sleeve t-shirt,summer,casual,공용,반팔 반팔티셔츠 티셔츠 반팔티 오버핏 남자반팔티 쿨코튼 썸머컬렉션 로고티셔츠,Female,커버 낫 쿠 코트 티셔츠 화이트 반팔 반팔 티셔츠 티셔츠 반팔 티 남자 반팔 티 쿠 코트 로고 티셔츠 
61,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 [다크 그레이],https://store.musinsa.com/app/goods/2411269,top,short sleeve t-shirt,summer,casual,남,라운드넥 여름티 아스킨 기능성 무지티 베이직티 쿨탠다드 MU-T,Cotton Male Round Neck Short Sleeves T-Shirts,신사 쿠 태 다 드 릴 렉스 크루 반팔 티셔츠 다크 여름 티 아스키 기능 무지 티 베이직 티 쿠 태 다 드 
62,드로우핏(DRAW FIT) 에센셜 베이직 티셔츠 [OFFWHITE],https://store.musinsa.com/app/goods/538279,top,short sleeve t-shirt,summer,casual,남,레이어드반팔 루즈핏반팔티 무지티 반팔 오버핏반팔 반팔티 레이어드티셔츠 무지,Female Long Sleeved Round Neck,에센셜 베이직 티셔츠 레이어 드 반팔 무지 티 반팔 반팔 티 레이어 드 티셔츠 무지 
63,칼하트(CARHARTT) 포켓반팔티 K87 남여공용 기본티 반팔 모음,https://store.musinsa.com/app/goods/1236364,top,short sleeve t-shirt,summer,casual,남,포켓,Short Sleeves,칼 하트 포켓 반팔 티 87 남여 공용 기본 티 반팔 모음 포켓 
64,본하이커(BORNHIKER) [패키지] 오버핏 그래픽 반팔티셔츠 3PACK _BB2H18881,https://store.musinsa.com/app/goods/1828538,top,short sleeve t-shirt,summer,casual,공용,패키지 반팔티 반팔티셔츠 오버핏 티셔츠 그래픽 2XL,Female,하이 패키지 그래픽 반팔 티셔츠 패키지 반팔 티 반팔 티셔츠 티셔츠 그래픽 XL 
65,무신사 스탠다드(MUSINSA STANDARD) 쿨탠다드 우먼즈 베이식 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/2411194,top,short sleeve t-shirt,summer,casual,여,여름티 아스킨 기능성 무지티 베이직티 쿨탠다드 무신사스탠다드우먼즈 MU-T 무지,Cotton Female Short Sleeves,신사 쿠 태 다 드 베이식 크루 반팔 티셔츠 블랙 여름 티 아스키 기능 무지 티 베이직 티 쿠 태 다 드 무지 
66,무신사 스탠다드(MUSINSA STANDARD) 베이식 크루 넥 반팔 티셔츠 [블랙],https://store.musinsa.com/app/goods/996498,top,short sleeve t-shirt,summer,casual,남,기본티 라운드넥 면티셔츠 무지티 반팔티 MU-T 홈웨어컬렉션,Male Short Sleeves,신사 베이식 크루 반팔 티셔츠 블랙 기본 티 면 티셔츠 무지 티 반팔 티 홈 웨어 컬렉션 
67,엠엠엘지(MMLG) [Mmlg] 19MG HF-T (BLACK),https://store.musinsa.com/app/goods/747941,top,short sleeve t-shirt,summer,casual,공용,로고 반팔티 반팔티셔츠 팔칠엠엠 하프티 87MM 로고티셔츠 특별기획전 EVERYDAYWEAR 그래픽,Black Female Short Sleeves,MG 로고 반팔 티 반팔 티셔츠 하 프티 MM 로고 티셔츠 기획전 그래픽 
